date,min
2020/03/25,8
2020/03/27,7
2020/03/30,10.5
2020/03/31,7
2020/04/04,9
2020/04/06,6
2020/04/09,5
2020/04/20,5
2020/04/27,6
2020/04/28,6
2020/05/01,6
2020/05/04,5
2020/05/06,5
2020/05/14,5
2020/07/13,7
2020/07/16,6
2020/07/18,5
2020/07/22,5
2020/09/21,4
2020/10/07,5
2020/10/12,7
2020/11/08,4
2020/11/09,4
2020/11/10,5
2020/11/12,5
2020/11/13,5
2020/11/15,5
2020/11/16,5
2020/11/17,5
2020/11/19,5
2020/11/23,5
2020/11/24,5
2020/11/26,6
2020/11/28,5.5
2020/11/29,3
2020/12/02,5
2020/12/14,4
2020/12/20,5
2020/12/21,5
2020/12/26,5
2020/12/27,6
2020/12/28,5
2021/01/02,5
2021/01/03,6
2021/01/04,6
2021/01/05,5
2021/01/06,5
2021/01/08,6
2021/02/06,4
2021/02/07,5
2021/02/22,4
2021/03/05,4
2021/03/13,4
2021-03-15,5
2021-03-24,4
2021-09-08,4
2021-10-18,6
2021-12-13,3
2021-12-14,4
2021-12-23,3
2022-02-16,5
2022-02-24,4
2022-03-22,5
2022-04-03,5
2022-04-10,6
2022-04-11,5
2022-04-17,5
2022-05-12,5
